Year of study,Age,parents politics,self politics,religiousness,parents religiousness,watch sports,parents watch sports,gender,gf doctor,not walking daughter down aisle,split rent 50 50,paying daughters private school fees,lost cat,poorly behaved niece,not helping sister on flight,misusing child support,making sure fair child support,paying college fees,mother-in-law boyfriend,donating to LGBTQ org.,cannot drink wife pregnant,bridesmaid sisters hair
Junior,19,Mildly conservative,Mildly conservative,Never,Frequently,Often,Never,Male,Mildly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Mildly a jerk,Strongly a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk
Senior,21,Mildly liberal,Mildly conservative,Never,Often,Frequently,Often,Male,Not a jerk,Not a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk
Junior,20,Mildly liberal,Mildly liberal,Often,Often,Frequently,Frequently,Female,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Strongly a jerk
Junior,20,Mildly liberal,Strongly liberal,Never,Never,Never,Often,Female,Mildly a jerk,Mildly a jerk,Mildly a jerk,Strongly a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Strongly a jerk
Junior,20,Neutral,Neutral,Never,Frequently,Never,Never,Male,Mildly a jerk,Strongly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk
Junior,20,Neutral,Mildly liberal,Never,Never,Never,Never,Female,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Mildly a jerk
Sophmore,19,Mildly conservative,Mildly liberal,Never,Never,Never,Often,Male,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Strongly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk
Sophmore,19,Neutral,Mildly liberal,Never,Never,Never,Never,Female,Mildly a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Not a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Mildly a jerk
Sophmore,19,Strongly liberal,Strongly liberal,Often,Often,Frequently,Often,Male,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Mildly a jerk
Junior,20,Mildly liberal,Mildly liberal,Never,Never,Frequently,Never,Male,Mildly a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk
Junior,20,Neutral,Neutral,Never,Never,Often,Never,Male,Mildly a jerk,Strongly a jerk,Strongly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk
Senior,22,Neutral,Mildly conservative,Never,Never,Often,Never,Male,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Strongly a jerk,Strongly a jerk,Mildly a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Strongly a jerk,Mildly a jerk
Junior,20,Strongly conservative,Mildly conservative,Never,Never,Often,Frequently,Male,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Mildly a jerk,Strongly a jerk,Strongly a jerk
Junior,20,Mildly liberal,Mildly liberal,Never,Never,Often,Often,Male,Mildly a jerk,Strongly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Mildly a jerk,Strongly a jerk,Not a jerk,Strongly a jerk,Mildly a jerk
Sophmore,19,Neutral,Strongly liberal,Never,Never,Frequently,Often,Male,Not a jerk,Strongly a jerk,Mildly a jerk,Strongly a jerk,Not a jerk,Mildly a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Mildly a jerk,Mildly a jerk
Junior,20,Strongly conservative,Strongly conservative,Never,Never,Often,Never,Male,Not a jerk,Not a jerk,Mildly a jerk,Not a jerk,Not a jerk,Not a jerk,Mildly a jerk,Strongly a jerk,Not a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Not a jerk,Not a jerk
Junior,21,Mildly liberal,Strongly liberal,Never,Never,Often,Often,Female,Not a jerk,Mildly a jerk,Mildly a jerk,Strongly a jerk,Mildly a jerk,Not a jerk,Strongly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Not a jerk,Not a jerk,Strongly a jerk,Strongly a jerk
